Temp_ambiente;Temp_frio;Temp_caliente
24,69;20,71;24,69
24,68;20,81;24,68
24,66;20,87;24,63
24,66;20,93;24,59
24,65;21;24,61
24,66;21,1;24,63
24,66;21,2;24,64
24,67;21,27;24,69
24,67;21,32;24,62
24,67;21,31;24,62
24,67;21,37;24,66
24,66;21,45;24,65
24,67;21,53;24,64
24,67;21,61;24,65
24,65;21,73;24,64
24,65;21,84;24,63
24,64;21,96;24,76
24,63;22,04;24,76
24,63;22,13;24,76
24,63;22,21;24,77
24,63;22,25;24,76
24,63;22,31;24,76
24,63;22,38;24,78
24,63;22,44;24,81
24,63;22,47;24,8
24,64;22,53;24,83
24,63;22,65;24,85
24,64;22,7;24,85
24,63;22,75;24,87
24,64;22,79;24,87
24,65;22,82;24,87
24,65;22,85;24,91
24,65;22,92;24,93
24,66;23;24,95
24,67;23,09;24,95
24,68;23,17;24,98
24,69;23,22;24,99
24,7;23,28;25
24,7;23,32;25,02
24,71;23,41;25,02
24,72;23,5;25,04
24,73;23,54;25,03
24,73;23,62;25,06
24,74;23,67;25,06
24,75;23,69;25,04
24,76;23,75;25,04
24,76;23,76;25,02
24,76;23,76;25,02
24,77;23,78;25,05
24,78;23,81;25,05
24,78;23,81;25,03
24,78;23,85;25,04
24,79;23,88;25,04
24,79;23,94;25,07
24,79;23,97;25,04
24,78;24;25,03
24,79;24,02;25,04
24,78;24,06;25,02
24,78;24,07;25,03
24,78;24,13;25,04
24,79;24,17;25,05
24,8;24,2;25,05
24,8;24,23;25,04
24,81;24,25;25,04
24,82;24,28;25,08
24,83;24,29;25,1
24,84;24,34;25,13
24,84;24,37;25,13
24,84;24,4;25,17
24,85;24,47;25,18
24,86;24,5;25,19
24,87;24,5;25,2
24,88;24,53;25,2
24,88;24,56;25,22
24,89;24,59;25,24
24,9;24,6;25,22
24,91;24,61;25,26
24,92;24,62;25,23
24,92;24,63;25,23
24,93;24,63;25,23
24,93;24,64;25,24
24,95;24,64;25,24
24,95;24,7;25,22
24,95;24,65;25,25
24,95;24,73;25,2
24,95;24,77;25,17
24,95;24,66;25,17
24,95;24,77;25,16
24,96;24,77;25,19
24,97;24,77;25,15
24,97;24,77;25,15
24,97;24,77;25,16
24,96;24,77;25,13
24,96;24,77;25,15
24,97;24,77;25,16
24,98;24,77;25,21
24,98;24,77;25,17
24,99;24,8;25,17
24,99;24,78;25,19
24,98;24,81;25,31
24,97;24,83;25,24
24,97,24,83,25,24;;
