temp_amb;cara_1;cara_2;Corriente;tiempo
25,91;81,36;38,03;1,428817034;346424
25,91;81,41;38,17;1,426236391;346084
25,9;81,81;38,3;1,431827784;346136
25,9;82,07;38,4;1,425376177;346284
25,9;82,35;38,7;1,423225641;346320
25,9;82,78;38,92;1,423225641;346460
25,89;83,26;39,1;1,419354677;346272
25,91;83,68;39,33;1,417204142;345888
25,92;83,97;39,57;1,420644999;344928
25,91;84,24;39,75;1,416774035;344628
25,92;84,47;39,96;1,417204142;344452
25,92;84,69;40,11;1,412472963;344316
25,92;84,89;40,33;1,414623499;344252
25,94;85,08;40,49;1,412472963;344312
25,92;85,07;40,62;1,409032106;344484
25,91;84,27;40,79;1,405591249;344628
25,91;84,19;40,94;1,408171892;344716
25,9;84,17;41,09;1,406021357;344772
25,9;84,62;41,21;1,406021357;344800
25,89;84,61;41,4;1,403870821;344916
25,88;85,03;41,58;1,406451464;344996
25,88;84,89;41,73;1,4025805;345004
25,87;85,31;41,89;1,406451464;345244
25,86;85,89;42,03;1,402150393;345136
25,85;86,27;42,16;1,403440714;345116
25,84;86,59;42,34;1,401720285;345036
25,82;86,77;42,55;1,398709536;345356
25,8;86,97;42,72;1,401720285;345372
25,78;87,15;42,84;1,398279428;345424
25,76;87,47;43;1,400429964;345180
25,75;87,76;43,18;1,398279428;344884
25,72;87,96;43,35;1,400860071;344884
25,72;88,15;43,51;1,395698786;345124
25,7;88,29;43,68;1,394408464;345348
25,7;88,48;43,83;1,395698786;345284
25,68;88,65;43,96;1,393978357;345472
25,69;88,79;44,11;1,396559;345460
25,69;88,96;44,3;1,392688036;345704
25,69;89,07;44,42;1,390967607;345960
25,69;89,21;44,55;1,392688036;346244
25,69;89,36;44,71;1,389247179;346212
25,7;89,56;44,88;1,3905375;345620
25,7;89,71;45,01;1,387956858;345140
25,7;89,85;45,18;1,384085894;345040
25,71;89,98;45,31;1,387526751;345212
25,71;90,13;45,43;1,384946108;345572
25,71;90,23;45,59;1,387096643;345748
25,72;90,36;45,74;1,383225679;345920
25,73;90,47;45,86;1,383225679;345864
25,73;90,62;46;1,382795572;345620
25,74;90,72;46,16;1,378064394;345548
25,75;90,65;46,27;1,384085894;345696
25,75;90,8;46,44;1,381505251;345944
25,76;91,06;46,57;1,37720418;346056
25,76;91,33;46,72;1,378494501;346048
25,77;91,63;46,9;1,375053644;344992
25,76;91,8;47,06;1,375053644;344732
25,77;91,97;47,24;0;344396
25,79;92,04;47,38;0;344168
25,79;92,04;47,61;0;344120
25,8;91,75;47,89;0;344028
25,81;91,17;48,25;0;345176
25,81;90,61;48,65;0;345748
25,82;89,98;49,17;0;345140
25,82;89,15;49,69;0;345928
25,81;88,52;50,34;0;345652
25,81;87,9;50,92;0;344436
25,81;87,14;51,41;0;345268
25,79;86,59;52,09;0;344620
25,77;86,06;52,61;0;345236
25,76;85,47;53,1;0;344816
25,76;84,97;53,55;0;345376
25,75;84,48;54,03;0;344148
25,74;84,27;54,55;0;344936
25,72;84,11;54,97;0;345640
25,7;83,47;55,42;0;344580
25,69;82,88;55,85;0;344276
25,67;82,34;56,25;0;344560
25,66;81,93;56,54;0;345120
25,65;81,45;56,81;0;345840
25,63;80,96;57,21;0;345552
25,62;80,52;57,52;0;345832
25,6;80,16;57,73;0;345600
25,58;79,82;58,04;0;345140
25,56;79,41;58,31;0;345300
25,54;78,97;58,58;0;345412
25,53;78,96;58,82;0;345400
25,52;78,79;59,07;0;345724
25,51;78,21;59,3;0;345380
25,5;77,84;59,51;0;345112
25,49;77,66;59,7;0;345128
25,49;77,14;59,88;0;345016
25,48;76,75;60,09;0;344832
25,48;76,46;60,2;0;344760
25,47;75,94;60,37;0;345016
25,46;75,58;60,5;0;344780
25,46;75,14;60,61;0;344924
25,45;74,85;60,79;0;344960
25,45;74,54;60,91;0;344768
25,45;74,21;61,03;0;344916
25,46;73,9;61,11;0;344904
25,46;73,61;61,23;0;345144
25,46;73,29;61,33;0;345128
25,46;73,02;61,42;0;345124
25,46;72,78;61,5;0;345128
25,46;72,55;61,54;0;345048
25,47;72,35;61,61;0;345172
25,47;72,11;61,7;0;345120
25,47;71,83;61,72;0;345136
25,47;71,59;61,79;0;344936
25,47;71,28;61,85;0;344660
25,46;71,14;61,91;0;344628
25,46;70,99;61,98;0;344596
25,46;70,73;61,98;0;344808
25,46;70,53;62,03;0;344936
25,45;70,32;62,07;0;344972
25,45;70,12;62,12;0;345044
25,45;69,93;62,15;0;345040
25,46;69,78;62,17;0;344976
25,45;69,56;62,19;0;344960
25,46;69,38;62,21;0;344964
25,45;69,21;62,25;0;344960
25,46;69,03;62,23;0;344948
25,46;68,83;62,25;0;344968
25,46;68,67;62,24;0;344992
25,47;68,51;62,25;0;344928
25,47;68,35;62,27;0;345136
25,48;68,14;62,24;0;345148
25,48;68,05;62,27;0;345280
25,49;68,15;62,26;0;345132
25,49;68,4;62,27;0;345144
25,5;68,49;62,3;0;345112
25,5;68,53;62,24;0;345148
25,5;68,5;62,21;0;345080
25,51;68,25;62,21;0;345176
