Temp_ambiente;Cara 1;Cara 2
27,66;24,39;26,57
27,66;24,51;26,57
27,65;24,58;26,58
27,65;24,63;26,56
27,65;24,64;26,55
27,65;24,77;26,55
27,65;24,77;26,56
27,65;24,84;26,55
27,65;24,88;26,54
27,65;24,99;26,56
27,65;25,08;26,54
27,65;24,99;26,55
27,66;24,79;26,56
27,65;24,58;26,56
27,66;24,22;26,57
27,67;23,82;26,59
27,67;23,37;26,63
27,67;22,86;26,67
27,67;22,38;26,71
27,67;21,87;26,73
27,67;21,32;26,8
27,66;20,92;26,83
27,68;20,45;26,85
27,67;19,93;26,9
27,67;19,28;26,9
27,68;18,79;26,93
27,68;18,08;26,95
27,68;17,68;26,96
27,68;17,2;26,97
27,68;16,83;26,99
27,68;16,39;27,02
27,68;15,89;27,04
27,68;15,47;27,05
27,67;15,01;27,05
27,66;14,62;27,07
27,67;14,08;27,1
27,66;13,57;27,13
27,66;13,21;27,16
27,66;12,89;27,17
27,67;12,49;27,18
27,67;12,21;27,19
27,67;11,9;27,2
27,67;11,57;27,2
27,68;11,18;27,21
27,67;10,87;27,24
27,69;10,58;27,25
27,67;10,34;27,27
27,68;10,16;27,3
27,69;9,89;27,32
27,69;9,65;27,34
27,69;9,45;27,33
27,69;9,23;27,32
27,7;9,06;27,34
27,71;8,86;27,32
27,71;8,66;27,29
27,72;8,45;27,24
27,71;8,24;27,24
27,71;8,07;27,27
27,71;7,89;27,27
27,72;7,68;27,29
27,73;7,49;27,27
27,74;7,33;27,25
27,73;7,17;27,24
27,73;7,06;27,26
27,73;6,96;27,23
27,74;6,81;27,24
27,74;6,64;27,22
27,74;6,58;27,24
27,74;6,4;27,28
27,74;6,22;27,29
27,75;6,05;27,27
27,74;5,91;27,29
27,75;5,79;27,31
27,75;5,71;27,32
27,75;5,68;27,36
27,75;5,65;27,41
27,76;5,61;27,45
27,76;5,57;27,47
27,76;5,54;27,46
27,77;5,48;27,43
27,78;5,43;27,4
27,77;5,36;27,39
27,77;5,31;27,36
27,78;5,25;27,33
27,78;5,2;27,36
27,78;5,16;27,36
27,79;5,13;27,4
27,79;5,09;27,47
27,79;5,05;27,53
27,8;5,02;27,56
27,8;4,98;27,6
27,79;4,92;27,63
27,8;4,9;27,66
27,8;4,85;27,67
27,8;4,79;27,68
27,81;4,76;27,67
27,81;4,72;27,65
27,82;4,69;27,63
27,81;4,67;27,6
27,82;4,66;27,56
27,83;4,6;27,54
27,83;4,62;27,5
27,84;4,6;27,48
27,83;4,58;27,46
27,84;4,57;27,43
27,85;4,52;27,42
27,85;4,48;27,43
27,85;4,44;27,44
27,85;4,41;27,48
27,84;4,36;27,5
27,85;4,38;27,59
27,84;4,47;27,68
27,86;4,44;27,73
27,86;4,45;27,78
27,87;4,5;27,82
27,87;4,56;27,87
27,86;4,57;27,9
27,87;4,6;27,94
27,88;4,61;27,95
27,88;4,63;27,96
27,88;4,6;27,95
27,88;4,63;27,97
27,89;4,59;27,98
27,89;4,6;28
27,88;4,59;27,99
27,89;4,58;27,99
27,89;4,58;28
27,89;4,56;28,02
27,88;4,6;28,07
27,89;4,54;28,03
27,9;4,54;28,07
27,9;4,51;28,1
27,9;4,47;28,14
27,9;4,48;28,16
27,9;4,56;28,23
27,9;4,48;28,21
27,9;4,45;28,17
27,91;4,43;28,14
27,92;4,52;28,1
27,91;4,67;28,07
27,92;4,96;28,05
27,92;5,22;28,04
27,94;5,57;28,03
27,93;5,77;28
27,94;6,42;28
27,93;6,93;27,98
27,92;7,38;27,98
27,92;7,94;27,97
27,92;8,4;27,96
27,92;8,95;27,98
27,92;9,45;27,98
27,91;9,93;27,99
27,9;10,37;28
27,91;10,82;28
27,91;11,39;28
27,91;11,92;27,99
27,92;12,31;28
27,91;12,78;27,99
27,9;13,14;27,99
27,9;13,55;27,99
27,9;14,07;27,99
27,89;14,59;27,98
27,89;14,96;27,97
27,88;15,36;27,97
27,87;15,75;27,97
27,87;16,14;27,96
27,87;16,48;27,95
27,86;16,81;27,95
27,86;17,08;27,93
27,86;17,33;27,92
27,86;17,68;27,89
27,85;17,92;27,89
27,84;18,18;27,88
27,85;18,6;27,89
27,84;18,93;27,89
27,83;19,16;27,89
27,83;19,46;27,87
27,83;19,76;27,88
27,81;20,07;27,89
27,81;20,24;27,89
27,8;20,45;27,85
27,8;20,68;27,87
27,8;20,85;27,88
27,79;20,98;27,87
27,79;21,15;27,87
27,78;21,29;27,85
27,78;21,35;27,85
27,78;21,61;27,87
27,78;21,81;27,82
27,77;21,96;27,82
27,77;22,14;27,86
27,77;22,3;27,82
27,77;22,41;27,82
27,77;22,54;27,82
27,77;22,71;27,83
27,77;22,79;27,79
27,76;22,87;27,8
27,76;23;27,81
27,76;23,13;27,79
27,76;23,26;27,78
27,75;23,42;27,79
27,75;23,55;27,77
27,75;23,68;27,8
27,75;23,74;27,79
27,75;23,79;27,75
27,75;23,84;27,75
27,74;23,91;27,73
27,73;24,03;27,76
27,74;24,14;27,74
27,74;24,21;27,74
27,73;24,28;27,73
27,73;24,36;27,77
27,72;24,46;27,77
27,72;24,55;27,79
27,72;24,6;27,8
27,72;24,63;27,79
27,72;24,68;27,78
27,71;24,76;27,77
27,71;24,77;27,78
27,72;24,78;27,78
27,71;24,82;27,78
27,71;24,85;27,77
27,7;24,93;27,76
27,69;25,05;27,76
27,69;25,11;27,76
27,69;25,2;27,76
27,69;25,26;27,76
27,69;25,32;27,76
27,68;25,38;27,8
27,68;25,44;27,77
27,67;25,5;27,79
27,67;25,54;27,77
27,67;25,59;27,76
27,66;25,63;27,77
27,66;25,66;27,77
27,67;25,69;27,78
27,66;25,7;27,77
27,66;25,73;27,77
27,66;25,74;27,77
27,65;25,78;27,76
27,65;25,78;27,76
27,65;25,83;27,77
27,65;25,86;27,75
27,65;25,92;27,75
27,64;25,96;27,75
27,64;26,04;27,74
27,63;26,05;27,72
27,63;26,1;27,74
27,63;26,17;27,74
27,63;26,21;27,73
27,63;26,25;27,72
27,62;26,27;27,71
27,62;26,31;27,71
27,61;26,35;27,74
27,61;26,39;27,72
27,61;26,43;27,72
27,61;26,48;27,72
27,6;26,55;27,71
27,6;26,57;27,7
27,6;26,61;27,7
27,6;26,63;27,7
27,6;26,67;27,72
27,59;26,69;27,7
27,59;26,7;27,7
27,6;26,72;27,68
27,59;26,72;27,71
27,59;26,74;27,68
27,58;26,76;27,68
27,58;26,77;27,69
27,58;26,79;27,7
27,58;26,81;27,67
27,58;26,82;27,65
27,57;26,86;27,68
27,58;26,88;27,7
27,57;26,91;27,67
27,57;26,88;27,65
27,57;26,94;27,65
27,56;26,98;27,65
27,57;27,01;27,63
27,56;27,05;27,67
27,56;27,07;27,65
27,55;27,08;27,62
27,56;27,11;27,63
27,55;27,13;27,63
27,54;27,13;27,54
27,58;27,01;27,59
27,53;27,27;27,64
27,54;27,18;27,61
27,55;27,2;27,67
27,54;27,19;27,66
27,54;27,25;27,63
27,54;27,25;27,64
27,54;27,26;27,66
27,54;27,27;27,65
27,55;27,3;27,62
27,54;27,31;27,66
27,54;27,32;27,64
27,54;27,32;27,66
27,52;27,34;27,68
27,53;27,36;27,67
27,53;27,37;27,67
27,53;27,38;27,68
27,53;27,37;27,69
27,52;27,4;27,69
27,52;27,44;27,7
27,52;27,41;27,67
27,51;27,42;27,63
27,51;27,42;27,63
27,51;27,41;27,64
27,51;27,44;27,68
27,51;27,46;27,65
27,5;27,45;27,62
27,5;27,46;27,58
27,5;27,48;27,58
27,5;27,46;27,54
27,5;27,47;27,6
27,5;27,48;27,55
27,5;27,48;27,55
27,51;27,47;27,56
27,51;27,48;28,13
27,42;27,78;27,71
27,49;27,54;27,69
