Temp_ambiente;Cara 1;Cara 2
27,35;24,67;25,37
27,35;24,64;25,39
27,35;24,5;25,41
27,35;24,26;25,4
27,35;23,94;25,44
27,35;23,68;25,45
27,35;23,18;25,4
27,34;22,76;25,4
27,35;22,35;25,44
27,34;21,86;25,42
27,34;21,34;25,42
27,33;20,96;25,42
27,34;20,55;25,4
27,34;20,09;25,39
27,33;19,45;25,38
27,33;18,98;25,38
27,34;18,32;25,37
27,33;17,86;25,4
27,34;17,37;25,42
27,34;17,01;25,43
27,34;16,63;25,45
27,33;16,13;25,44
27,33;15,7;25,43
27,33;15,32;25,44
27,33;14,9;25,44
27,33;14,48;25,47
27,33;14,03;25,5
27,34;13,54;25,49
27,32;13,22;25,5
27,32;12,96;25,49
27,32;12,62;25,48
27,32;12,29;25,46
27,32;12,02;25,47
27,32;11,74;25,45
27,32;11,4;25,44
27,31;11;25,45
27,31;10,75;25,43
27,31;10,49;25,38
27,32;10,33;25,39
27,31;10,1;25,36
27,3;9,86;25,38
27,3;9,6;25,34
27,3;9,49;25,35
27,3;9,26;25,37
27,3;9,1;25,36
27,3;8,96;25,37
27,29;8,72;25,41
27,3;8,57;25,42
27,29;8,38;25,44
27,29;8,16;25,44
27,3;8,04;25,49
27,3;7,91;25,48
27,29;7,7;25,5
27,29;7,56;25,51
27,3;7,48;25,52
27,29;7,34;25,52
27,3;7,18;25,51
27,29;7,08;25,51
27,29;7,01;25,51
27,29;6,87;25,52
27,29;6,76;25,54
27,29;6,66;25,53
27,29;6,56;25,52
27,29;6,48;25,54
27,29;6,38;25,54
27,29;6,22;25,57
27,29;6,12;25,56
27,29;5,98;25,58
27,29;5,87;25,58
27,29;5,77;25,61
27,29;5,72;25,63
27,29;5,7;25,66
27,28;5,68;25,71
27,28;5,65;25,75
27,28;5,65;25,76
27,27;5,61;25,8
27,27;5,58;25,83
27,28;5,54;25,85
27,28;5,54;25,86
27,28;5,49;25,9
27,28;5,45;25,91
27,27;5,42;25,92
27,27;5,37;25,95
27,27;5,32;25,95
27,28;5,26;25,98
27,27;5,25;25,98
27,27;5,22;26
27,28;5,21;26,01
27,27;5,18;26,03
27,27;5,17;26,03
27,27;5,15;26,02
27,27;5,14;26,02
27,27;5,12;26,01
27,27;5,08;26
27,27;5,05;26
27,27;5,05;25,99
27,27;5,02;25,99
27,27;4,98;25,98
27,26;4,97;25,97
27,26;4,96;25,98
27,26;4,91;25,98
27,26;4,9;25,99
27,27;4,9;26,01
27,26;4,89;26
27,26;4,86;26,02
27,26;4,83;26,02
27,26;4,8;26,02
27,26;4,78;26
27,26;4,78;26,01
27,26;4,78;26
27,26;4,77;25,99
27,26;4,78;25,98
27,25;4,79;25,96
27,25;4,75;25,94
27,25;4,77;25,94
27,25;4,76;25,95
27,25;4,76;25,94
27,25;4,74;25,94
27,25;4,72;25,94
27,25;4,75;25,96
27,25;4,77;25,98
