Temp_ambiente;Cara 1;Cara 2
27,25;4,76;26
27,24;4,76;26
27,25;4,76;26
27,24;4,74;26,01
27,25;4,74;26,01
27,25;4,72;26,01
27,25;4,72;25,98
27,24;4,72;25,98
27,24;4,72;25,99
27,24;4,72;25,98
27,24;4,74;25,99
27,24;4,75;25,99
27,24;4,74;26,01
27,25;4,75;26,03
27,24;4,77;26,05
27,25;4,74;26,03
27,25;4,71;26,04
27,25;4,72;26,04
27,25;4,72;26,04
27,24;4,73;26,04
27,25;4,73;26,03
27,25;4,71;26,04
27,25;4,71;26,05
27,26;4,72;26,06
27,26;4,73;26,06
27,26;4,73;26,08
27,26;4,75;26,09
27,27;4,74;26,17
27,27;4,75;26,22
27,26;4,74;26,24
27,27;4,71;26,33
27,27;4,72;26,34
27,26;4,75;26,39
27,26;4,75;26,41
27,27;4,77;26,48
27,26;4,81;26,47
27,26;4,8;26,45
27,26;4,81;26,46
27,26;4,84;26,46
27,26;4,86;26,47
27,26;4,86;26,43
27,26;4,88;26,46
27,26;4,87;26,47
27,26;4,85;26,49
27,25;4,91;26,47
27,26;4,9;26,48
27,26;4,89;26,5
27,28;4,89;26,53
27,28;4,89;26,57
27,29;4,91;26,62
27,29;4,91;26,64
27,29;4,89;26,69
27,29;4,92;26,73
27,29;4,92;26,72
27,29;4,89;26,69
27,28;4,9;26,65
27,29;4,9;26,59
27,29;4,91;26,59
27,28;4,92;26,55
27,28;4,94;26,56
27,28;4,93;26,53
27,28;4,95;26,54
27,28;4,93;26,51
27,29;4,94;26,52
27,28;4,95;26,53
27,28;4,93;26,56
27,27;4,96;26,54
27,28;4,95;26,57
27,28;4,97;26,6
27,28;4,97;26,61
27,27;4,99;26,63
27,28;4,96;26,6
27,27;5;26,58
27,27;4,98;26,56
27,28;4,99;26,56
27,27;5,01;26,56
27,27;5;26,56
27,27;4,99;26,54
27,27;5,01;26,57
27,27;5,02;26,6
27,27;5,03;26,61
27,27;5,03;26,65
27,27;5,04;26,66
27,27;5,03;26,59
27,28;5,08;26,7
27,27;5,16;26,73
27,27;5,24;26,81
27,28;5,28;26,83
27,27;5,25;26,87
27,27;5,22;26,87
27,27;5,19;26,82
27,28;5,2;26,82
27,28;5,19;26,8
27,28;5,2;26,79
27,28;5,19;26,68
27,3;5,15;26,72
27,29;5,23;26,74
27,28;5,37;26,75
27,3;5,59;26,75
27,3;5,86;26,76
27,3;6,43;26,79
27,3;6,85;26,8
27,3;7,25;26,78
27,3;7,67;26,8
27,3;8,12;26,77
27,3;8,56;26,74
27,3;8,99;26,7
27,3;9,35;26,65
27,3;9,73;26,59
27,3;10,14;26,59
27,3;10,48;26,54
27,3;10,9;26,53
27,31;11,4;26,49
27,31;11,85;26,51
27,3;12,19;26,46
27,3;12,56;26,49
27,31;12,93;26,48
27,31;13,22;26,47
27,31;13,57;26,51
27,3;14,01;26,52
27,3;14,49;26,52
27,31;14,84;26,51
27,31;15,23;26,53
27,31;15,52;26,52
27,31;15,84;26,52
27,31;16,18;26,53
27,3;16,49;26,54
27,31;16,75;26,55
27,31;16,98;26,54
27,3;17,21;26,56
27,3;17,48;26,57
27,31;17,76;26,57
27,31;17,93;26,58
27,31;18,14;26,58
27,3;18,47;26,59
27,31;18,84;26,61
27,31;19,05;26,63
27,31;19,22;26,67
27,31;19,51;26,67
27,3;19,79;26,69
27,3;20,05;26,69
27,3;20,19;26,7
27,3;20,35;26,68
27,3;20,54;26,71
27,31;20,71;26,69
27,3;20,85;26,69
27,3;20,96;26,68
27,3;21,1;26,69
27,3;21,25;26,68
27,3;21,33;26,68
27,3;21,42;26,67
27,3;21,62;26,68
27,3;21,79;26,68
27,3;21,93;26,71
27,29;22,05;26,71
27,3;22,2;26,72
27,3;22,31;26,72
27,3;22,42;26,73
27,3;22,55;26,74
27,3;22,65;26,76
27,3;22,74;26,73
27,3;22,8;26,73
27,29;22,91;26,76
27,3;22,98;26,71
27,3;23,1;26,73
27,3;23,2;26,74
27,31;23,3;26,73
27,31;23,4;26,72
27,31;23,5;26,72
27,31;23,6;26,68
27,31;23,7;26,69
27,31;23,74;26,69
27,31;23,77;26,66
27,32;23,84;26,78
27,31;23,88;26,7
27,32;23,93;26,64
27,32;23,95;26,64
27,32;24,03;26,63
27,32;24,11;26,64
27,33;24,12;26,59
27,32;24,2;26,59
27,32;24,27;26,59
27,32;24,3;26,6
27,33;24,35;26,59
27,32;24,41;26,57
27,33;24,42;26,58
27,32;24,52;26,57
27,33;24,53;26,57
27,33;24,56;26,58
27,34;24,6;26,56
27,35;24,62;26,55
27,35;24,63;26,57
27,36;24,64;26,55
27,36;24,65;26,58
27,36;24,77;26,54
27,37;24,77;26,56
27,36;24,77;26,57
27,36;24,78;26,6
27,36;24,77;26,56
27,37;24,82;26,56
27,37;24,85;26,55
27,37;24,87;26,6
27,37;24,98;26,58
27,37;25;26,58
27,37;24,96;26,52
27,38;25,03;26,54
27,38;25,07;26,55
27,38;25,09;26,56
27,38;25,11;26,56
27,38;25,19;26,63
27,38;25,23;26,59
27,38;25,25;26,59
27,39;25,28;26,6
27,39;25,28;26,57
27,39;25,28;26,56
27,39;25,32;26,57
27,39;25,34;26,57
27,39;25,33;26,56
27,39;25,37;26,59
27,39;25,38;26,59
27,4;25,43;26,61
27,39;25,49;26,64
27,4;25,51;26,64
27,4;25,51;26,64
27,4;25,51;26,64
27,4;25,56;26,65
27,4;25,58;26,63
27,4;25,57;26,65
27,41;25,6;26,64
27,41;25,59;26,64
27,4;25,62;26,65
27,41;25,64;26,67
27,4;25,63;26,63
27,41;25,65;26,63
27,41;25,64;26,63
27,4;25,66;26,63
27,41;25,67;26,66
27,41;25,67;26,63
27,4;25,68;26,63
27,41;25,7;26,63
27,41;25,71;26,63
27,4;25,7;26,6
27,41;25,71;26,59
27,41;25,71;26,62
27,41;25,73;26,61
27,41;25,72;26,59
27,41;25,75;26,61
27,41;25,73;26,58
27,41;25,75;26,57
27,41;25,75;26,6
27,4;25,76;26,59
27,4;25,76;26,58
27,41;25,77;26,59
27,4;25,78;26,58
27,41;25,78;26,61
27,41;25,79;26,59
27,41;25,79;26,6
27,41;25,78;26,6
27,41;25,82;26,62
27,41;25,82;26,63
27,41;25,83;26,61
27,41;25,82;26,59
27,41;25,82;26,58
27,4;25,84;26,57
27,41;25,86;26,58
27,4;25,87;26,56
27,4;25,87;26,55
27,4;25,89;26,53
27,4;25,9;26,56
27,4;25,91;26,57
27,4;25,94;26,56
27,4;25,93;26,55
27,4;25,94;26,54
27,4;25,93;26,53
27,39;25,95;26,5
27,39;26,01;26,54
27,39;26,01;26,54
27,39;26,04;26,56
27,38;26,08;26,55
27,38;26,11;26,58
27,38;26,1;26,54
27,38;26,11;26,54
27,38;26,12;26,56
27,38;26,16;26,57
27,39;26,16;26,55
27,38;26,19;26,57
27,38;26,21;26,57
27,38;26,24;26,6
27,38;26,25;26,59
27,37;26,25;26,58
27,38;26,29;26,6
27,38;26,3;26,6
27,38;26,28;26,56
27,38;26,32;26,59
27,38;26,35;26,58
27,38;26,34;26,58
27,38;26,36;26,59
27,38;26,37;26,55
27,38;26,37;26,58
27,39;26,39;26,57
27,38;26,39;26,56
27,38;26,43;26,58
27,38;26,42;26,56
