temp_ambiente,cara_1,cara_2
25.03,67.91,61.74
25.04,67.71,61.71
25.04,67.49,61.7
25.03,67.26,61.66
25.03,67.08,61.61
25.03,66.87,61.58
25.01,66.69,61.53
24.99,66.51,61.52
24.98,66.28,61.46
24.97,66.1,61.42
24.97,65.89,61.36
24.97,65.7,61.28
24.98,65.55,61.23
24.99,65.36,61.15
24.99,65.2,61.06
24.99,65.03,61
24.98,64.85,60.9
24.98,64.66,60.83
24.97,64.46,60.75
24.96,64.28,60.67
24.96,64.17,60.61
24.95,64.05,60.59
24.94,63.91,60.55
24.94,63.79,60.5
24.92,63.64,60.43
24.92,63.46,60.33
24.91,63.34,60.26
24.91,63.22,60.2
24.9,63.09,60.14
24.89,62.96,60.04
24.88,62.85,59.97
24.88,62.72,59.88
24.85,62.57,59.78
24.84,62.43,59.71
24.83,62.29,59.61
24.83,62.16,59.55
24.83,62.05,59.46
24.82,61.92,59.36
24.81,61.82,59.29
24.8,61.69,59.21
24.79,61.53,59.14
24.77,61.4,59.05
24.77,61.31,58.96
24.77,61.18,58.86
24.77,61.05,58.77
24.76,60.9,58.7
24.76,60.76,58.62
24.76,60.62,58.56
24.75,60.51,58.5
24.75,60.4,58.39
24.73,60.33,58.32
24.72,60.24,58.21
24.71,60.13,58.12
24.69,60.01,58
24.68,59.92,57.89
24.66,59.8,57.78
24.65,59.67,57.69
24.66,59.56,57.59
24.66,59.45,57.49
24.67,59.35,57.39
24.68,59.25,57.33
24.69,59.14,57.23
24.68,59.03,57.16
24.7,58.94,57.08
24.7,58.86,56.99
24.71,58.77,56.91
24.71,58.64,56.82
24.73,58.55,56.77
24.74,58.43,56.7
24.74,58.35,56.61
24.75,58.26,56.54
24.76,58.14,56.47
24.76,58.03,56.37
24.77,57.89,56.31
24.78,57.83,56.23
24.79,57.7,56.17
24.79,57.58,56.06
24.81,57.51,55.94
24.81,57.41,55.86
24.81,57.34,55.78
24.83,57.28,55.71
24.82,57.25,55.62
24.84,57.15,55.51
24.84,57.09,55.43
24.86,57.01,55.35
24.87,56.94,55.26
24.87,56.85,55.19
24.88,56.73,55.09
24.9,56.67,55
24.9,56.59,54.91
24.91,56.51,54.83
24.91,56.43,54.74
24.94,56.36,54.69
24.93,56.28,54.61
24.93,56.21,54.53
24.93,56.14,54.46
24.91,56.05,54.36
24.91,55.98,54.29
24.9,55.88,54.23
24.89,55.81,54.12
24.89,55.69,54.04
24.89,55.62,53.97
24.89,55.54,53.87
24.9,55.44,53.8
