temp_ambiente,cara_1,cara_2
27.38,62.84,65.35
27.37,62.77,65.23
27.38,62.7,65.11
27.37,62.61,65
27.37,62.54,64.87
27.36,62.42,64.75
27.37,62.36,64.62
27.36,62.3,64.49
27.36,62.2,64.4
27.37,62.12,64.27
27.36,62.06,64.17
27.36,61.98,64.05
27.36,61.9,63.97
27.37,61.85,63.88
27.36,61.77,63.77
27.37,61.68,63.69
27.37,61.6,63.59
27.36,61.54,63.49
27.37,61.48,63.44
27.36,61.4,63.35
27.35,61.35,63.29
27.35,61.28,63.2
27.35,61.21,63.07
27.36,61.12,62.97
27.36,61.03,62.88
27.36,60.97,62.76
27.36,60.89,62.67
27.36,60.79,62.58
27.36,60.71,62.47
27.35,60.58,62.37
27.35,60.49,62.25
27.35,60.43,62.16
27.35,60.37,62.07
27.36,60.32,61.99
27.36,60.24,61.86
27.36,60.17,61.75
27.35,60.09,61.67
27.35,60.02,61.58
27.35,59.96,61.51
27.34,59.86,61.43
27.35,59.8,61.35
27.35,59.72,61.26
27.35,59.64,61.19
27.35,59.54,61.08
27.35,59.54,60.95
27.34,59.56,60.83
27.35,59.57,60.74
27.36,59.61,60.65
27.36,59.65,60.59
27.37,59.63,60.53
27.37,59.68,60.52
27.36,59.65,60.44
27.37,59.63,60.49
27.36,59.62,60.52
27.37,59.59,60.54
27.36,59.55,60.55
27.37,59.55,60.54
27.36,59.54,60.56
27.37,59.49,60.52
27.36,59.45,60.52
27.36,59.43,60.51
27.35,59.4,60.47
27.35,59.37,60.45
27.36,59.34,60.4
27.36,59.31,60.37
27.35,59.31,60.36
27.35,59.26,60.32
27.35,59.24,60.28
27.35,59.2,60.22
27.35,59.17,60.19
27.35,59.14,60.15
27.35,59.11,60.08
27.35,59.07,60.03
27.36,59.03,59.97
27.37,58.99,59.92
27.39,58.96,59.85
27.4,58.92,59.78
27.41,58.88,59.72
27.41,58.84,59.66
