temp_amb;cara_1;cara_2;corriente;tiempo;diferencia
26,78;75,76;32,61;1,413763285;346228;43,15
26,78;75,96;32,73;1,414623499;346676;43,23
26,77;76,18;32,85;1,413333178;347148;43,33
26,78;76,39;32,93;1,409032106;347396;43,46
26,78;76,55;33,04;1,406021357;347572;43,51
26,79;76,77;33,29;1,408171892;347656;43,48
26,78;76,95;33,42;1,406451464;347692;43,53
26,79;77,18;33,61;1,405161142;347920;43,57
26,79;77,4;33,77;1,4025805;347912;43,63
26,78;77,59;33,87;1,399999857;347884;43,72
26,77;77,8;34,01;1,399999857;347912;43,79
26,74;77,96;34,18;1,4025805;347968;43,78
26,73;78,16;34,37;1,401720285;348080;43,79
26,72;78,31;34,57;1,395698786;348224;43,74
26,71;78,48;34,81;1,396128893;348248;43,67
26,68;78,71;35,04;1,393978357;347104;43,67
26,68;78,89;35,22;1,396128893;346624;43,67
26,67;79,08;35,43;1,393118143;346288;43,65
26,66;79,37;35,54;1,3905375;346544;43,83
26,65;79,56;35,7;1,391827822;346632;43,86
26,65;79,79;35,79;1,388817072;346688;44
26,65;79,96;35,95;1,386666536;346436;44,01
26,65;80,15;36,1;1,388386965;346188;44,05
26,65;80,3;36,25;1,384946108;346312;44,05
26,64;80,48;36,37;1,383655787;346568;44,11
26,65;80,71;36,49;1,384946108;346512;44,22
26,65;80,89;36,59;1,382795572;346732;44,3
26,64;81,15;36,7;1,381505251;346800;44,45
26,65;81,3;36,84;1,379784822;346732;44,46
26,65;81,5;36,96;1,381075144;346608;44,54
26,65;81,71;37,09;1,377634287;346416;44,62
26,65;81,86;37,24;1,377634287;346476;44,62
26,64;82,05;37,37;1,378494501;346748;44,68
26,64;82,26;37,49;1,376774073;347032;44,77
26,64;82,41;37,66;1,37118268;347056;44,75
26,64;82,61;37,78;1,374623537;347144;44,83
26,63;82,76;37,92;1,374623537;346796;44,84
26,63;82,91;38,11;1,370752573;346132;44,8
26,63;83,13;38,22;1,375913858;345992;44,91
26,62;83,32;38,3;1,370322466;345888;45,02
26,62;83,47;38,41;1,366451502;346128;45,06
26,61;83,64;38,62;1,37118268;346048;45,02
26,62;83,82;38,8;1,369032145;346244;45,02
26,62;83,98;38,97;1,364731073;346212;45,01
26,61;84,2;39,17;1,366451502;346176;45,03
26,61;84,35;39,36;1,364731073;345660;44,99
26,6;84,49;39,51;1,36516118;345312;44,98
26,61;84,68;39,68;1,360430002;344704;45
26,61;84,84;39,89;1,364731073;344436;44,95
26,61;85;40,04;1,359999895;344424;44,96
26,61;85,18;40,15;1,359139681;344448;45,03
26,59;85,31;40,36;1,358279467;344424;44,95
26,61;85,47;40,52;1,359569788;344504;44,95
26,59;85,66;40,66;1,356559038;344512;45
26,61;85,8;40,78;1,358709574;344712;45,02
26,61;85,97;40,95;1,35182786;344664;45,02
26,6;86,15;41,05;1,356128931;344628;45,1
26,61;86,27;41,16;1,351397753;344696;45,11
26,6;86,42;41,34;1,352257967;344912;45,08
26,61;86,61;41,51;1,349247217;344912;45,1
26,61;86,74;41,63;1,352257967;344952;45,11
26,61;86,83;41,75;1,350967646;345000;45,08
26,61;86,97;41,89;1,34881711;345080;45,08
26,62;87,16;41,97;1,347526789;345012;45,19
26,62;87,33;42,04;1,347526789;345072;45,29
26,62;87,48;42,17;1,347096682;344984;45,31
26,62;87,68;42,38;1,34279561;344812;45,3
26,62;87,76;42,54;1,347956896;345068;45,22
26,63;87,9;42,7;1,34580636;344964;45,2
26,63;88,04;42,83;1,347526789;345196;45,21
26,63;88,19;43,03;1,343225718;345196;45,16
26,64;88,33;43,23;1,345376253;345228;45,1
26,64;88,51;43,39;1,342365503;345460;45,12
26,65;88,64;43,56;1,339784861;345344;45,08
26,65;88,81;43,74;1,344516039;345528;45,07
26,65;89;43,87;1,338494539;345496;45,13
26,66;89,15;43,99;1,336344004;345560;45,16
26,65;89,31;44,14;1,341075182;345828;45,17
26,66;89,51;44,26;1,339354753;345516;45,25
26,66;89,7;44,4;1,340645075;345032;45,3
26,66;89,83;44,57;1,335913897;345268;45,26
26,67;90,04;44,72;1,335483789;345328;45,32
26,68;90,18;44,83;1,335913897;345504;45,35
26,68;90,32;44,95;1,332903147;345628;45,37
26,68;90,46;45,09;1,334193468;345512;45,37
26,69;90,58;45,21;1,334623575;345696;45,37
26,69;90,68;45,45;1,330752611;345848;45,23
26,69;90,81;45,67;1,332903147;345988;45,14
26,69;91;45,89;1,332042933;345624;45,11
26,7;91,14;46,08;1,328602076;345384;45,06
26,69;91,34;46,3;1,332042933;345628;45,04
26,7;91,49;46,47;1,331612825;345636;45,02
26,71;91,66;46,67;1,326881647;345324;44,99
26,72;91,77;46,88;1,329892397;344952;44,89
26,71;91,92;47,06;1,326021433;344648;44,86
26,71;92,08;47,28;1,328171968;344728;44,8
26,71;92,18;47,42;1,326021433;344736;44,76
26,7;92,33;47,64;1,326881647;344556;44,69
26,71;92,53;47,76;1,324731112;344540;44,77
26,71;92,62;47,9;1,325161219;344548;44,72
26,72;92,74;48,11;1,323010683;344800;44,63
26,71;92,84;48,25;1,322150469;344900;44,59
26,72;93,05;48,42;1,323010683;345012;44,63
26,73;93,15;48,59;1,321290255;345532;44,56
26,74;93,28;48,75;1,324731112;345584;44,53
26,73;93,38;48,89;1,321290255;345712;44,49
26,74;93,49;49,09;1,32043004;345724;44,4
26,73;93,59;49,26;1,323010683;345928;44,33
26,72;93,68;49,4;1,319999933;346164;44,28
26,72;93,82;49,53;1,318279505;346236;44,29
26,7;93,96;49,69;1,319999933;346324;44,27
26,7;94,04;49,79;1,319569826;346020;44,25
26,69;94,19;49,93;1,315698862;346076;44,26
26,7;94,3;50,09;1,319999933;345984;44,21
26,7;94,45;50,22;1,316559076;345904;44,23
26,68;94,54;50,39;1,317419291;345964;44,15
26,68;94,62;50,52;1,316989183;345768;44,1
26,67;94,76;50,66;1,313978434;345628;44,1
26,66;94,89;50,84;1,316989183;345112;44,05
26,66;94,99;51,01;1,313548326;345152;43,98
26,65;95,09;51,11;1,317419291;345408;43,98
26,65;95,21;51,22;1,314838648;345608;43,99
26,64;95,32;51,3;1,310537577;345844;44,02
26,64;95,43;51,43;1,316128969;346016;44
26,64;95,54;51,64;1,312258005;345668;43,9
26,65;95,65;51,87;1,311397791;345280;43,78
26,64;95,77;52,09;1,313118219;345428;43,68
26,65;95,9;52,26;1,310967684;345740;43,64
26,64;96,02;52,44;1,311827898;346296;43,58
26,64;96,15;52,67;1,309677362;345808;43,48
26,61;96,35;52,85;1,309247255;345312;43,5
26,59;96,5;53;1,309247255;345152;43,5
26,58;96,64;53,13;1,308817148;345348;43,51
26,56;96,8;53,28;1,311397791;345652;43,52
26,54;96,9;53,4;1,308817148;345956;43,5
26,52;97;53,63;1,306236386;345732;43,37
26,5;97,11;53,81;1,308817148;345128;43,3
26,49;97,25;54,02;1,30709672;344696;43,23
26,45;97,37;54,27;1,308817148;344688;43,1
26,43;97,46;54,45;1,305376291;345104;43,01
26,4;97,56;54,57;1,309677362;345504;42,99
26,37;97,69;54,71;1,305806398;345776;42,98
26,35;97,86;54,92;1,302365422;346184;42,94
26,33;97,96;55,25;1,307526827;345132;42,71
26,31;98,02;55,48;1,305806279;344628;42,54
26,3;98,14;55,69;1,305376291;344572;42,45
26,3;98,24;55,87;1,302365541;344556;42,37
26,29;98,41;56,08;1,306236386;344108;42,33
26,29;98,48;56,2;1,301935315;344024;42,28
26,29;98,58;56,35;1,306666613;344320;42,23
26,28;98,67;56,51;1,302365422;344616;42,16
26,26;98,79;56,64;1,304946184;345164;42,15
26,25;98,92;56,77;1,301505208;345432;42,15
26,23;98,97;56,96;1,299354668;345848;42,01
26,23;99,08;57,18;1,302365541;345284;41,9
26,2;99,17;57,3;1,301935315;345496;41,87
26,19;99,23;57,45;1,299784899;345576;41,78
26,19;99,34;57,56;1,300214887;345688;41,78
26,18;99,43;57,67;1,299354668;345608;41,76
26,18;99,49;57,76;1,299784775;345792;41,73
