temp_amb;cara_1;cara_2;Corriente A
25,75;67,72;64,17;0
25,74;67,53;64,14;0
25,73;67,32;64,11;0
25,72;67,18;64,05;0
25,72;67,04;63,99;0
25,73;66,84;63,91;0
25,72;66,72;63,88;0
25,73;66,65;63,74;0
25,73;66,54;63,7;0
25,73;66,51;63,64;0
25,73;66,2;63,58;0
25,73;66,01;63,54;0
25,74;65,81;63,46;0
25,75;65,7;63,42;0
25,76;65,54;63,31;0
25,76;65,31;63,25;0
25,78;65,26;63,18;0
25,79;65,14;63,13;0
25,79;64,93;63,07;0
25,82;64,8;62,97;0
25,83;64,69;62,88;0
25,83;64,57;62,8;0
25,84;64,4;62,68;0
25,85;64,29;62,61;0
25,86;64,2;62,54;0
25,86;64,06;62,47;0
25,87;63,93;62,35;0
25,87;63,82;62,24;0
25,87;63,73;62,18;0
25,87;63,58;62,08;0
25,87;63,41;61,94;0
25,87;63,33;61,82;0
25,86;63,29;61,72;0
25,85;63,24;61,59;0
25,86;63,24;61,16;0
25,85;63,41;60,64;0
25,84;63,61;60,21;0
25,84;63,32;59,8;0
25,85;62,45;59,38;0
25,85;62,22;58,92;0
25,85;62,14;58,58;0
25,84;62,07;58,34;0
25,84;62;58,01;0
25,85;61,94;57,76;0
25,84;61,83;57,53;0
25,84;61,73;57,26;0
25,84;61,56;57,05;0
25,84;61,35;56,75;0
25,84;61,24;56,58;0
25,84;61,12;56,5;0
25,84;60,99;56,42;0
25,84;60,83;56,34;0
25,84;60,7;56,3;0
25,84;60,5;56,24;0
25,84;60,36;56,15;0
25,84;60,21;56,07;0
25,84;60,04;56,04;0
25,85;59,9;55,98;0
25,84;59,74;55,85;0
25,85;59,52;55,59;0
25,81;59,36;54,91;0
25,79;59,16;54,54;0
25,76;58,9;54,23;0
25,73;58,61;53,81;0
25,71;58,29;53,24;0
25,69;57,96;52,9;0
25,68;57,69;52,7;0
25,67;57,41;52,52;0
25,67;57,21;52,45;0
25,67;57,03;52,43;0
25,68;56,91;52,43;0
25,68;56,73;52,43;0
25,69;56,54;52,42;0
25,68;56,39;52,31;0
25,68;56,27;52,24;0
25,67;56,1;52,09;0
25,67;55,96;51,99;0
25,65;55,81;51,93;0
25,65;55,67;51,82;0
25,65;55,52;51,69;0
25,64;55,48;51,51;0
25,63;55,43;51,4;0
25,62;55,37;51,25;0
25,62;55,26;51,14;0
25,62;55,15;51,05;0
25,61;55,05;50,94;0
25,61;54,98;50,85;0
25,59;54,93;50,81;0
25,61;54,78;50,8;0
25,61;54,61;50,81;0
25,62;54,52;50,77;0
25,62;54,4;50,65;0
25,62;54,28;50,52;0
25,61;54,11;50,44;0
25,62;54,02;50,31;0
25,61;53,92;50,13;0
25,62;53,78;50,07;0
25,63;53,64;50,08;0
25,65;53,53;50,1;0
25,67;53,47;50,14;0
25,69;53,34;50,14;0
25,71;53,25;50,13;0
25,73;53,19;50,11;0
25,74;53,11;50,09;0
25,75;53,08;50,11;0
25,76;53,05;50,12;0
25,78;53,01;50,14;0
25,81;52,98;50,15;0
25,84;52,94;50,16;0
25,86;52,92;50,17;0
25,88;52,86;50,18;0
25,88;52,81;50,19;0
25,89;52,79;50,21;0
25,9;52,76;50,22;0
25,9;52,71;50,21;0
25,91;52,64;50,21;0
25,92;52,57;50,21;0
25,93;52,5;50,23;0
25,95;52,44;50,26;0
25,95;52,37;50,23;0
25,96;52,31;50,23;0
25,96;52,26;50,21;0
25,98;52,18;50,22;0
25,99;52,09;50,23;0
25,99;52,01;50,21;0
26;51,93;50,22;0
26;51,88;50,22;0
26,01;51,8;50,17;0
26,01;51,7;50,16;0
26,02;51,66;50,16;0
26,02;51,6;50,13;0
26,03;51,52;50,11;0
26,03;51,47;50,1;0
26,03;51,42;50,07;0
26,04;51,37;50,06;0
26,05;51,31;50,04;0
26,05;51,22;50;0
26,05;51,13;49,97;0
26,06;51,06;49,95;0
26,06;50,98;49,9;0
26,07;50,94;49,89;0
26,07;50,89;49,86;0
26,07;50,83;49,79;0
26,08;50,77;49,76;0
26,09;50,72;49,75;0
26,1;50,69;49,69;0
26,09;50,63;49,65;0
26,11;50,58;49,62;0
26,11;50,56;49,57;0
26,12;50,52;49,51;0
26,13;50,5;49,38;0
26,12;50,44;49,09;0
26,09;50,36;48,69;0
26,05;50,23;48,48;0
26,03;50,1;48,22;0
26;49,98;48,04;0
25,98;49,85;47,79;0
25,96;49,67;47,59;0
25,93;49,56;47,4;0
25,9;49,4;47,21;0
25,88;49,24;47,08;0
25,86;49,12;46,93;0
25,85;49,01;46,85;0
25,85;48,79;46,8;0
25,84;48,67;46,67;0
25,84;48,57;46,55;0
25,83;48,48;46,48;0
25,84;48,45;46,41;0
25,84;48,34;46,31;0
25,85;48,31;46,23;0
25,86;48,25;46,13;0
25,86;48,18;45,78;0
25,84;48,08;45,41;0
25,81;47,95;45,15;0
25,79;47,8;44,77;0
25,78;47,7;44,57;0
25,77;47,62;44,43;0
25,75;47,56;44,34;0
25,74;47,44;44,15;0
25,72;47,34;44,03;0
25,71;47,2;43,91;0
25,7;47,12;43,82;0
25,7;47,04;43,73;0
25,71;46,94;43,65;0
25,71,46,94,43,65,0,00;;;
